,IMUx,IMUy,IMUvx,IMUvy,dt
985,-0.1090777344428917,0.5772711737909211,-0.44248845987021923,0.47271852381527424,7.605552673339844e-05
986,-0.1139985287880807,0.582419949977169,-0.41856230795383453,0.4379544220864773,7.033348083496094e-05
987,-0.11859133815543221,0.5871135985795501,-0.39489235170185566,0.40356256626546383,7.343292236328125e-05
988,-0.12395077197494797,0.5925691992829372,-0.3550302404910326,0.361400717869401,7.319450378417969e-05
989,-0.12741570756578402,0.5960845268964132,-0.32705448754131794,0.3318109791725874,6.67572021484375e-05
990,-0.1308801781407276,0.5995837914283773,-0.29616506583988667,0.2991394754499197,6.818771362304688e-05
991,-0.13448360583243946,0.603199146430307,-0.25949678383767605,0.26035571563988924,7.033348083496094e-05
992,-0.13786466936790398,0.60647453596293,-0.2201401498168707,0.21325974352657795,0.000171661376953125
993,-0.14039000896668496,0.608812360366193,-0.1851982232183218,0.17144661489874125,0.0001552104949951172
994,-0.14254755319963563,0.6106617512977432,-0.14778867922723293,0.12668062094599009,0.00012564659118652344
995,-0.14399948651898842,0.6117690941699359,-0.11560518108308315,0.08816835563629866,0.000102996826171875
996,-0.14531833067993172,0.6125075659863011,-0.07617860659956932,0.04265534598380327,8.392333984375e-05
997,-0.1459036311574493,0.6126417189419777,-0.04894585162401199,0.01121856365352869,7.534027099609375e-05
998,-0.14616020967191612,0.612375286137288,-0.020651064813137054,-0.021444200538098812,6.723403930664062e-05
999,-0.1459355002378515,0.6114229951033925,0.014185726642608643,-0.06011737044900656,7.200241088867188e-05
1000,-0.1455377028228726,0.6105108376204307,0.03750917874276638,-0.08600930217653513,6.437301635742188e-05
1001,-0.14487972064782761,0.6093031041987065,0.06116663198918104,-0.11227201670408249,0.0001010894775390625
1002,-0.14355157719260614,0.607192879012465,0.0926817636936903,-0.14725773129612207,8.225440979003906e-05
1003,-0.1417223416475144,0.6042049850351754,0.11754458211362362,-0.191998646594584,7.390975952148438e-05
1004,-0.14012342872105976,0.6015567779593021,0.1362880663946271,-0.22572775278240442,7.152557373046875e-05
1005,-0.13771324528706796,0.5975131651954888,0.1603083098307252,-0.26895244512706995,6.794929504394531e-05
1006,-0.13531705286100038,0.5934590774220858,0.1814111564308405,-0.30692724976688623,0.00011491775512695312
1007,-0.13251945299735612,0.588824102640638,0.18792415596544743,-0.3113467851653695,0.000164031982421875
1008,-0.13019879176759885,0.5850410642436983,0.19317982532083988,-0.31491313222795725,0.000141143798828125
1009,-0.12664892057953137,0.5793841938565454,0.20090999640524387,-0.3201586054638028,0.00010609626770019531
1010,-0.12330591614559583,0.5747252859770942,0.20866994373500347,-0.2908084820955992,8.630752563476562e-05
1011,-0.12064884372557994,0.5714064171165993,0.21466541104018688,-0.26813207753002644,7.319450378417969e-05
1012,-0.11731701253897708,0.5677939780627974,0.22193709202110767,-0.24062870349735022,7.748603820800781e-05
1013,-0.11441875978767047,0.5650322167809843,0.22809181176126003,-0.21734996512532234,7.2479248046875e-05
1014,-0.11107947258461581,0.5618822167625477,0.22348075173795223,-0.2108127661049366,7.200241088867188e-05
1015,-0.10810641908279806,0.559104598274097,0.2192970858886838,-0.20488149300217628,6.580352783203125e-05
1016,-0.10546301770708011,0.5566574075332249,0.21551197301596403,-0.19951525703072548,6.747245788574219e-05
1017,-0.10299645328984486,0.5543944935941743,0.21192021388560534,-0.1944231428205967,6.67572021484375e-05
1018,-0.09962562022638455,0.5515558036371404,0.20818863809108734,-0.17532253451645374,6.842613220214844e-05
1019,-0.09745080539917339,0.5498344375034669,0.2057525720447302,-0.16285317949950695,6.461143493652344e-05
1020,-0.09484855214958654,0.5479389628770353,0.20279521401971579,-0.1477155163884163,6.771087646484375e-05
1021,-0.09179723598459177,0.5456538221717049,0.21493958309292793,-0.16096896026283503,6.818771362304688e-05
1022,-0.08889546290601347,0.5434323516853297,0.22592709306627512,-0.17295989580452442,6.699562072753906e-05
1023,-0.08638796362426371,0.5414810051389913,0.23505306337028742,-0.18291928805410862,8.440017700195312e-05
1024,-0.08349660868535835,0.5391936774012425,0.2451429469510913,-0.19393062219023705,9.608268737792969e-05
